filename,primary_category,people_bucket,cropped_original,colorized_path,topaz_path,person_crops_count,person_crop_paths_json,status,error
1079_Byculla_Church_Bombay_Eastern_Side.jpg,people,one_person,cropped_originals\1079_Byculla_Church_Bombay_Eastern_Side_cropped.jpg,colorized\1079_Byculla_Church_Bombay_Eastern_Side_color.png,full_restored\1079_Byculla_Church_Bombay_Eastern_Side_topaz.jpg,0,[],complete,
1089_Cornwallis_Monument_and_Secretariat_Bombay.jpg,people,group_6_plus,cropped_originals\1089_Cornwallis_Monument_and_Secretariat_Bombay_cropped.jpg,colorized\1089_Cornwallis_Monument_and_Secretariat_Bombay_color.png,full_restored\1089_Cornwallis_Monument_and_Secretariat_Bombay_topaz.jpg,0,[],complete,
1096_The_Protestant_Burial_ground_Bombay_with_Malabar_Hill_in_the_distance.jpg,people,one_person,cropped_originals\1096_The_Protestant_Burial_ground_Bombay_with_Malabar_Hill_in_the_distance_cropped.jpg,colorized\1096_The_Protestant_Burial_ground_Bombay_with_Malabar_Hill_in_the_distance_color.png,full_restored\1096_The_Protestant_Burial_ground_Bombay_with_Malabar_Hill_in_the_distance_topaz.jpg,0,[],complete,
1107_Caves_of_Elephanta_1_The_Entrance.jpg,people,one_person,cropped_originals\1107_Caves_of_Elephanta_1_The_Entrance_cropped.jpg,colorized\1107_Caves_of_Elephanta_1_The_Entrance_color.png,full_restored\1107_Caves_of_Elephanta_1_The_Entrance_topaz.jpg,0,[],complete,
1109_Caves_of_Elephanta_3_The_Water_Cave.jpg,people,group_3_to_5,cropped_originals\1109_Caves_of_Elephanta_3_The_Water_Cave_cropped.jpg,colorized\1109_Caves_of_Elephanta_3_The_Water_Cave_color.png,full_restored\1109_Caves_of_Elephanta_3_The_Water_Cave_topaz.jpg,4,"[""upper_body_crops\\1109_Caves_of_Elephanta_3_The_Water_Cave_person_01.jpg"", ""upper_body_crops\\1109_Caves_of_Elephanta_3_The_Water_Cave_person_02.jpg"", ""upper_body_crops\\1109_Caves_of_Elephanta_3_The_Water_Cave_person_03.jpg"", ""upper_body_crops\\1109_Caves_of_Elephanta_3_The_Water_Cave_person_04.jpg""]",complete,
1110_In_Front_of_the_Custom_House_Bombay.jpg,people,one_person,cropped_originals\1110_In_Front_of_the_Custom_House_Bombay_cropped.jpg,colorized\1110_In_Front_of_the_Custom_House_Bombay_color.png,full_restored\1110_In_Front_of_the_Custom_House_Bombay_topaz.jpg,1,"[""upper_body_crops\\1110_In_Front_of_the_Custom_House_Bombay_person_01.jpg""]",complete,
1111_Caves_of_Elephanta_4_Carved_Recess.jpg,people,two_people,cropped_originals\1111_Caves_of_Elephanta_4_Carved_Recess_cropped.jpg,colorized\1111_Caves_of_Elephanta_4_Carved_Recess_color.png,full_restored\1111_Caves_of_Elephanta_4_Carved_Recess_topaz.jpg,4,"[""upper_body_crops\\1111_Caves_of_Elephanta_4_Carved_Recess_person_01.jpg"", ""upper_body_crops\\1111_Caves_of_Elephanta_4_Carved_Recess_person_02.jpg"", ""upper_body_crops\\1111_Caves_of_Elephanta_4_Carved_Recess_person_03.jpg"", ""upper_body_crops\\1111_Caves_of_Elephanta_4_Carved_Recess_person_04.jpg""]",complete,
1112_Caves_of_Elephanta_5_The_Northern_Aisle.jpg,people,group_6_plus,cropped_originals\1112_Caves_of_Elephanta_5_The_Northern_Aisle_cropped.jpg,colorized\1112_Caves_of_Elephanta_5_The_Northern_Aisle_color.png,full_restored\1112_Caves_of_Elephanta_5_The_Northern_Aisle_topaz.jpg,4,"[""upper_body_crops\\1112_Caves_of_Elephanta_5_The_Northern_Aisle_person_01.jpg"", ""upper_body_crops\\1112_Caves_of_Elephanta_5_The_Northern_Aisle_person_02.jpg"", ""upper_body_crops\\1112_Caves_of_Elephanta_5_The_Northern_Aisle_person_03.jpg"", ""upper_body_crops\\1112_Caves_of_Elephanta_5_The_Northern_Aisle_person_04.jpg""]",complete,
1113_Caves_of_Elephanta_6_From_Northern_Aisle.jpg,people,one_person,cropped_originals\1113_Caves_of_Elephanta_6_From_Northern_Aisle_cropped.jpg,colorized\1113_Caves_of_Elephanta_6_From_Northern_Aisle_color.png,full_restored\1113_Caves_of_Elephanta_6_From_Northern_Aisle_topaz.jpg,2,"[""upper_body_crops\\1113_Caves_of_Elephanta_6_From_Northern_Aisle_person_01.jpg"", ""upper_body_crops\\1113_Caves_of_Elephanta_6_From_Northern_Aisle_person_02.jpg""]",complete,
1114_Caves_of_Elephanta_7_From_the_Water_Cave.jpg,people,two_people,cropped_originals\1114_Caves_of_Elephanta_7_From_the_Water_Cave_cropped.jpg,colorized\1114_Caves_of_Elephanta_7_From_the_Water_Cave_color.png,full_restored\1114_Caves_of_Elephanta_7_From_the_Water_Cave_topaz.jpg,1,"[""upper_body_crops\\1114_Caves_of_Elephanta_7_From_the_Water_Cave_person_01.jpg""]",complete,
1115_Caves_of_Elephanta_8_The_Vista.jpg,people,one_person,cropped_originals\1115_Caves_of_Elephanta_8_The_Vista_cropped.jpg,colorized\1115_Caves_of_Elephanta_8_The_Vista_color.png,full_restored\1115_Caves_of_Elephanta_8_The_Vista_topaz.jpg,1,"[""upper_body_crops\\1115_Caves_of_Elephanta_8_The_Vista_person_01.jpg""]",complete,
1116_Angria_s_Colaba_Small_Fortalice_used_as_Prison.jpg,people,one_person,cropped_originals\1116_Angria_s_Colaba_Small_Fortalice_used_as_Prison_cropped.jpg,colorized\1116_Angria_s_Colaba_Small_Fortalice_used_as_Prison_color.png,full_restored\1116_Angria_s_Colaba_Small_Fortalice_used_as_Prison_topaz.jpg,0,[],complete,
1122_Angria_s_Colaba_Hindu_Temple_in_the_Village.jpg,people,group_3_to_5,cropped_originals\1122_Angria_s_Colaba_Hindu_Temple_in_the_Village_cropped.jpg,colorized\1122_Angria_s_Colaba_Hindu_Temple_in_the_Village_color.png,full_restored\1122_Angria_s_Colaba_Hindu_Temple_in_the_Village_topaz.jpg,1,"[""upper_body_crops\\1122_Angria_s_Colaba_Hindu_Temple_in_the_Village_person_01.jpg""]",complete,
1126_Gorabunder_near_Bassein_The_Landing.jpg,people,group_6_plus,cropped_originals\1126_Gorabunder_near_Bassein_The_Landing_cropped.jpg,colorized\1126_Gorabunder_near_Bassein_The_Landing_color.png,full_restored\1126_Gorabunder_near_Bassein_The_Landing_topaz.jpg,5,"[""upper_body_crops\\1126_Gorabunder_near_Bassein_The_Landing_person_01.jpg"", ""upper_body_crops\\1126_Gorabunder_near_Bassein_The_Landing_person_02.jpg"", ""upper_body_crops\\1126_Gorabunder_near_Bassein_The_Landing_person_03.jpg"", ""upper_body_crops\\1126_Gorabunder_near_Bassein_The_Landing_person_04.jpg"", ""upper_body_crops\\1126_Gorabunder_near_Bassein_The_Landing_person_05.jpg""]",complete,
1127_Bassein_Ruins_of_The_Benedictine_Chapel.jpg,people,one_person,cropped_originals\1127_Bassein_Ruins_of_The_Benedictine_Chapel_cropped.jpg,colorized\1127_Bassein_Ruins_of_The_Benedictine_Chapel_color.png,full_restored\1127_Bassein_Ruins_of_The_Benedictine_Chapel_topaz.jpg,0,[],complete,
1134_Ruined_Temple_of_Ambernath_near_Callian_Principal_Entrance.jpg,people,one_person,cropped_originals\1134_Ruined_Temple_of_Ambernath_near_Callian_Principal_Entrance_cropped.jpg,colorized\1134_Ruined_Temple_of_Ambernath_near_Callian_Principal_Entrance_color.png,full_restored\1134_Ruined_Temple_of_Ambernath_near_Callian_Principal_Entrance_topaz.jpg,2,"[""upper_body_crops\\1134_Ruined_Temple_of_Ambernath_near_Callian_Principal_Entrance_person_01.jpg"", ""upper_body_crops\\1134_Ruined_Temple_of_Ambernath_near_Callian_Principal_Entrance_person_02.jpg""]",complete,
1156_Caves_of_Karlie_3_Carving_right_of_Entrance.jpg,people,two_people,cropped_originals\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_cropped.jpg,colorized\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_color.png,full_restored\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_topaz.jpg,15,"[""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_01.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_02.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_03.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_04.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_05.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_06.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_07.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_08.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_09.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_10.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_11.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_12.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_13.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_14.jpg"", ""upper_body_crops\\1156_Caves_of_Karlie_3_Carving_right_of_Entrance_person_15.jpg""]",complete,
1157_Caves_of_Karlie_4_Perspective_View_of_Entrance.jpg,people,group_6_plus,cropped_originals\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_cropped.jpg,colorized\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_color.png,full_restored\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_topaz.jpg,9,"[""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_01.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_02.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_03.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_04.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_05.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_06.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_07.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_08.jpg"", ""upper_body_crops\\1157_Caves_of_Karlie_4_Perspective_View_of_Entrance_person_09.jpg""]",complete,
1154_Caves_of_Karlie_1_The_Approach.jpg,people,group_3_to_5,cropped_originals\1154_Caves_of_Karlie_1_The_Approach_cropped.jpg,colorized\1154_Caves_of_Karlie_1_The_Approach_color.png,full_restored\1154_Caves_of_Karlie_1_The_Approach_topaz.jpg,0,[],complete,
1159_Bassein_Ruins_of_Entrance_to_the_Inner_Fort.jpg,people,group_6_plus,cropped_originals\1159_Bassein_Ruins_of_Entrance_to_the_Inner_Fort_cropped.jpg,colorized\1159_Bassein_Ruins_of_Entrance_to_the_Inner_Fort_color.png,full_restored\1159_Bassein_Ruins_of_Entrance_to_the_Inner_Fort_topaz.jpg,3,"[""upper_body_crops\\1159_Bassein_Ruins_of_Entrance_to_the_Inner_Fort_person_01.jpg"", ""upper_body_crops\\1159_Bassein_Ruins_of_Entrance_to_the_Inner_Fort_person_02.jpg"", ""upper_body_crops\\1159_Bassein_Ruins_of_Entrance_to_the_Inner_Fort_person_03.jpg""]",complete,
